"Step","ldx-reversi-baseline-full-obs - eval/vs_baseline/player2/win_rate","ldx-reversi-baseline-full-obs - eval/vs_baseline/player2/win_rate__MIN","ldx-reversi-baseline-full-obs - eval/vs_baseline/player2/win_rate__MAX","pgx-reversi-baseline-full - eval/vs_baseline/player2/win_rate","pgx-reversi-baseline-full - eval/vs_baseline/player2/win_rate__MIN","pgx-reversi-baseline-full - eval/vs_baseline/player2/win_rate__MAX"
"0","0.013671875","0.013671875","0.013671875","0.017578125","0.017578125","0.017578125"
"5","0.0322265625","0.0322265625","0.0322265625","0.048828125","0.048828125","0.048828125"
"10","0.07421875","0.07421875","0.07421875","0.0517578125","0.0517578125","0.0517578125"
"15","0.1103515625","0.1103515625","0.1103515625","0.111328125","0.111328125","0.111328125"
"20","0.140625","0.140625","0.140625","0.171875","0.171875","0.171875"
"25","0.2041015625","0.2041015625","0.2041015625","0.1845703125","0.1845703125","0.1845703125"
"30","0.2099609375","0.2099609375","0.2099609375","0.2177734375","0.2177734375","0.2177734375"
"35","0.2587890625","0.2587890625","0.2587890625","0.2841796875","0.2841796875","0.2841796875"
"40","0.275390625","0.275390625","0.275390625","0.3701171875","0.3701171875","0.3701171875"
"45","0.28125","0.28125","0.28125","0.3916015625","0.3916015625","0.3916015625"
"50","0.279296875","0.279296875","0.279296875","0.3955078125","0.3955078125","0.3955078125"
"55","0.2880859375","0.2880859375","0.2880859375","0.37890625","0.37890625","0.37890625"
"60","0.2802734375","0.2802734375","0.2802734375","0.3623046875","0.3623046875","0.3623046875"
"65","0.25390625","0.25390625","0.25390625","0.3916015625","0.3916015625","0.3916015625"
"70","0.349609375","0.349609375","0.349609375","0.423828125","0.423828125","0.423828125"
"75","0.3271484375","0.3271484375","0.3271484375","0.380859375","0.380859375","0.380859375"
"80","0.349609375","0.349609375","0.349609375","0.3935546875","0.3935546875","0.3935546875"
"85","0.4267578125","0.4267578125","0.4267578125","0.4091796875","0.4091796875","0.4091796875"
"90","0.43359375","0.43359375","0.43359375","0.3994140625","0.3994140625","0.3994140625"
"95","0.447265625","0.447265625","0.447265625","0.4052734375","0.4052734375","0.4052734375"
"100","0.439453125","0.439453125","0.439453125","0.4033203125","0.4033203125","0.4033203125"
"105","0.421875","0.421875","0.421875","0.373046875","0.373046875","0.373046875"
"110","0.4423828125","0.4423828125","0.4423828125","0.451171875","0.451171875","0.451171875"
"115","0.4267578125","0.4267578125","0.4267578125","0.4267578125","0.4267578125","0.4267578125"
"120","0.4306640625","0.4306640625","0.4306640625","0.376953125","0.376953125","0.376953125"
"125","0.505859375","0.505859375","0.505859375","0.396484375","0.396484375","0.396484375"
"130","0.4931640625","0.4931640625","0.4931640625","0.4853515625","0.4853515625","0.4853515625"
"135","0.5283203125","0.5283203125","0.5283203125","0.5048828125","0.5048828125","0.5048828125"
"140","0.568359375","0.568359375","0.568359375","0.509765625","0.509765625","0.509765625"
"145","0.5341796875","0.5341796875","0.5341796875","0.5859375","0.5859375","0.5859375"
"150","0.5498046875","0.5498046875","0.5498046875","0.5439453125","0.5439453125","0.5439453125"
"155","0.599609375","0.599609375","0.599609375","0.55078125","0.55078125","0.55078125"
"160","0.5107421875","0.5107421875","0.5107421875","0.5625","0.5625","0.5625"
"165","0.5634765625","0.5634765625","0.5634765625","0.5517578125","0.5517578125","0.5517578125"
"170","0.603515625","0.603515625","0.603515625","0.5791015625","0.5791015625","0.5791015625"
"175","0.6025390625","0.6025390625","0.6025390625","0.6181640625","0.6181640625","0.6181640625"
"180","0.5947265625","0.5947265625","0.5947265625","0.56640625","0.56640625","0.56640625"
"185","0.6201171875","0.6201171875","0.6201171875","0.6005859375","0.6005859375","0.6005859375"
"190","0.5869140625","0.5869140625","0.5869140625","0.6015625","0.6015625","0.6015625"
"195","0.5966796875","0.5966796875","0.5966796875","0.5869140625","0.5869140625","0.5869140625"
"200","0.62890625","0.62890625","0.62890625","0.5537109375","0.5537109375","0.5537109375"
"205","0.6650390625","0.6650390625","0.6650390625","0.5478515625","0.5478515625","0.5478515625"
"210","0.625","0.625","0.625","0.5126953125","0.5126953125","0.5126953125"
"215","0.6416015625","0.6416015625","0.6416015625","0.5400390625","0.5400390625","0.5400390625"
"220","","","","0.5556640625","0.5556640625","0.5556640625"
"225","","","","0.5498046875","0.5498046875","0.5498046875"
"230","","","","0.5615234375","0.5615234375","0.5615234375"
"235","","","","0.607421875","0.607421875","0.607421875"
"240","","","","0.5751953125","0.5751953125","0.5751953125"
"245","","","","0.5947265625","0.5947265625","0.5947265625"
"250","","","","0.59375","0.59375","0.59375"
"255","","","","0.5595703125","0.5595703125","0.5595703125"
"260","","","","0.5615234375","0.5615234375","0.5615234375"
"265","","","","0.59375","0.59375","0.59375"
"270","","","","0.638671875","0.638671875","0.638671875"
"275","","","","0.615234375","0.615234375","0.615234375"
"280","","","","0.6240234375","0.6240234375","0.6240234375"
"285","","","","0.677734375","0.677734375","0.677734375"
"290","","","","0.5888671875","0.5888671875","0.5888671875"
"295","","","","0.568359375","0.568359375","0.568359375"
"300","","","","0.6025390625","0.6025390625","0.6025390625"
"305","","","","0.609375","0.609375","0.609375"
"310","","","","0.6572265625","0.6572265625","0.6572265625"
"315","","","","0.6943359375","0.6943359375","0.6943359375"
"320","","","","0.611328125","0.611328125","0.611328125"
"325","","","","0.6982421875","0.6982421875","0.6982421875"
"330","","","","0.728515625","0.728515625","0.728515625"
"335","","","","0.650390625","0.650390625","0.650390625"
"340","","","","0.6533203125","0.6533203125","0.6533203125"
"345","","","","0.6953125","0.6953125","0.6953125"
"350","","","","0.6650390625","0.6650390625","0.6650390625"
"355","","","","0.6982421875","0.6982421875","0.6982421875"
"360","","","","0.6484375","0.6484375","0.6484375"
"365","","","","0.6806640625","0.6806640625","0.6806640625"
"370","","","","0.6435546875","0.6435546875","0.6435546875"
"375","","","","0.6171875","0.6171875","0.6171875"
"380","","","","0.65234375","0.65234375","0.65234375"
"385","","","","0.63671875","0.63671875","0.63671875"
"390","","","","0.6904296875","0.6904296875","0.6904296875"
"395","","","","0.6982421875","0.6982421875","0.6982421875"
"400","","","","0.693359375","0.693359375","0.693359375"
"405","","","","0.591796875","0.591796875","0.591796875"
"410","","","","0.6982421875","0.6982421875","0.6982421875"
"415","","","","0.716796875","0.716796875","0.716796875"
"420","","","","0.681640625","0.681640625","0.681640625"
"425","","","","0.7568359375","0.7568359375","0.7568359375"
"430","","","","0.736328125","0.736328125","0.736328125"
"435","","","","0.7353515625","0.7353515625","0.7353515625"
"440","","","","0.68359375","0.68359375","0.68359375"
"445","","","","0.6533203125","0.6533203125","0.6533203125"
"450","","","","0.658203125","0.658203125","0.658203125"
"455","","","","0.6904296875","0.6904296875","0.6904296875"
"460","","","","0.7412109375","0.7412109375","0.7412109375"
"465","","","","0.728515625","0.728515625","0.728515625"
"470","","","","0.7197265625","0.7197265625","0.7197265625"
"475","","","","0.7333984375","0.7333984375","0.7333984375"
"480","","","","0.6884765625","0.6884765625","0.6884765625"
"485","","","","0.73046875","0.73046875","0.73046875"
"490","","","","0.716796875","0.716796875","0.716796875"
"495","","","","0.6669921875","0.6669921875","0.6669921875"
"500","","","","0.7294921875","0.7294921875","0.7294921875"
"505","","","","0.7451171875","0.7451171875","0.7451171875"
"510","","","","0.69140625","0.69140625","0.69140625"
"515","","","","0.708984375","0.708984375","0.708984375"
"520","","","","0.7333984375","0.7333984375","0.7333984375"
"525","","","","0.7490234375","0.7490234375","0.7490234375"
"530","","","","0.7451171875","0.7451171875","0.7451171875"
"535","","","","0.740234375","0.740234375","0.740234375"
"540","","","","0.69921875","0.69921875","0.69921875"
"545","","","","0.6796875","0.6796875","0.6796875"
"550","","","","0.6962890625","0.6962890625","0.6962890625"
"555","","","","0.763671875","0.763671875","0.763671875"
"560","","","","0.7099609375","0.7099609375","0.7099609375"
"565","","","","0.7158203125","0.7158203125","0.7158203125"
"570","","","","0.734375","0.734375","0.734375"
"575","","","","0.6923828125","0.6923828125","0.6923828125"
"580","","","","0.734375","0.734375","0.734375"
"585","","","","0.728515625","0.728515625","0.728515625"
"590","","","","0.732421875","0.732421875","0.732421875"
"595","","","","0.7509765625","0.7509765625","0.7509765625"
"600","","","","0.7412109375","0.7412109375","0.7412109375"
"605","","","","0.740234375","0.740234375","0.740234375"
"610","","","","0.6904296875","0.6904296875","0.6904296875"
"615","","","","0.7841796875","0.7841796875","0.7841796875"
"620","","","","0.75","0.75","0.75"
"625","","","","0.74609375","0.74609375","0.74609375"
"630","","","","0.720703125","0.720703125","0.720703125"
"635","","","","0.7685546875","0.7685546875","0.7685546875"
"640","","","","0.748046875","0.748046875","0.748046875"
"645","","","","0.734375","0.734375","0.734375"
"650","","","","0.724609375","0.724609375","0.724609375"
"655","","","","0.7353515625","0.7353515625","0.7353515625"
"660","","","","0.734375","0.734375","0.734375"
"665","","","","0.71484375","0.71484375","0.71484375"
"670","","","","0.7041015625","0.7041015625","0.7041015625"
"675","","","","0.7255859375","0.7255859375","0.7255859375"
"680","","","","0.76953125","0.76953125","0.76953125"
"685","","","","0.7177734375","0.7177734375","0.7177734375"
"690","","","","0.716796875","0.716796875","0.716796875"
"695","","","","0.7509765625","0.7509765625","0.7509765625"
"700","","","","0.740234375","0.740234375","0.740234375"
"705","","","","0.76953125","0.76953125","0.76953125"
"710","","","","0.7216796875","0.7216796875","0.7216796875"
"715","","","","0.69140625","0.69140625","0.69140625"
"720","","","","0.7138671875","0.7138671875","0.7138671875"
"725","","","","0.751953125","0.751953125","0.751953125"
"730","","","","0.75390625","0.75390625","0.75390625"
"735","","","","0.7109375","0.7109375","0.7109375"
"740","","","","0.716796875","0.716796875","0.716796875"
"745","","","","0.728515625","0.728515625","0.728515625"
"750","","","","0.7666015625","0.7666015625","0.7666015625"
"755","","","","0.751953125","0.751953125","0.751953125"
"760","","","","0.7490234375","0.7490234375","0.7490234375"
"765","","","","0.740234375","0.740234375","0.740234375"
"770","","","","0.7119140625","0.7119140625","0.7119140625"